company,year,variable,extracted_value,retrieved_pages,num_chunks_used,raw_llm_response
AIG,2017,industry,"General Insurance, Life and Retirement, Other Operations, Legacy Portfolio","[4, 5, 101, 131, 233]",5,"{""extracted_value"": ""General Insurance, Life and Retirement, Other Operations, Legacy Portfolio""}"
AIG,2017,net_income,-6084,"[53, 216, 391, 394, 395, 412]",5,"{""extracted_value"": -6084}"
AIG,2017,total_revenues,49520,"[52, 59, 93, 215, 391, 394]",5,"{""extracted_value"": 49520}"
AIG,2018,industry,"General Insurance, Life and Retirement, Other Operations","[4, 5, 108, 246, 248]",5,"{""extracted_value"": ""General Insurance, Life and Retirement, Other Operations""}"
AIG,2018,net_income,-6,"[59, 101, 224, 228, 229, 408, 412]",5,"{""extracted_value"": -6}"
AIG,2018,total_revenues,47389,"[58, 65, 101, 228, 251, 408]",5,"{""extracted_value"": 47389}"
AIG,2019,industry,"General Insurance, Life and Retirement, Other Operations, Legacy Portfolio","[120, 121, 122, 235, 236, 265, 387, 390, 465]",5,"{""extracted_value"": ""General Insurance, Life and Retirement, Other Operations, Legacy Portfolio""}"
AIG,2019,net_income,-6,"[183, 227, 370, 580, 585, 586, 587, 605]",5,"{""extracted_value"": -6}"
AIG,2019,total_revenues,49746,"[182, 226, 264, 369, 580, 586]",5,"{""extracted_value"": 49746}"
AIG,2020,industry,"General Insurance, Life and Retirement, Other Operations","[119, 120, 255, 410, 411, 496]",5,"{""extracted_value"": ""General Insurance, Life and Retirement, Other Operations""}"
AIG,2020,net_income,-5944,"[247, 377, 389, 390, 619, 620]",5,"{""extracted_value"": -5944}"
AIG,2020,total_revenues,43736,"[120, 205, 244, 285, 388, 454]",5,"{""extracted_value"": 43736}"
AIG,2021,industry,"General Insurance, Life and Retirement, Other Operations","[125, 126, 269, 415, 416, 501]",5,"{""extracted_value"": ""General Insurance, Life and Retirement, Other Operations""}"
AIG,2021,net_income,9388,"[252, 259, 260, 262, 267, 398, 399, 625, 626]",5,"{""extracted_value"": 9388}"
AIG,2021,total_revenues,52057,"[127, 252, 258, 259, 261, 397, 419]",5,"{""extracted_value"": 52057}"
